INSERT INTO `habitacion` (`idhabitacion`, `hotel_idhotel`, `capacidad`, `precio`) VALUES 
(NULL, '25', '2', '200'),
(NULL, '25', '3', '300'),
(NULL, '25', '4', '400'),
(NULL, '26', '1', '100'),
(NULL, '26', '2', '200'),
(NULL, '26', '3', '300'),
(NULL, '26', '4', '400'),
(NULL, '27', '1', '100'),
(NULL, '27', '2', '200'),
(NULL, '27', '3', '300'),
(NULL, '27', '4', '400'),
(NULL, '28', '1', '100'),
(NULL, '28', '2', '200'),
(NULL, '28', '3', '300'),
(NULL, '28', '4', '400'),
(NULL, '29', '1', '100'),
(NULL, '29', '2', '200'),
(NULL, '29', '3', '300'),
(NULL, '29', '4', '400'),
(NULL, '30', '1', '200'),
(NULL, '30', '2', '300'),
(NULL, '30', '3', '400'),
(NULL, '30', '4', '300'),
(NULL, '31', '1', '200'),
(NULL, '31', '2', '400'),
(NULL, '31', '3', '200'),
(NULL, '31', '4', '400'),
(NULL, '32', '1', '300'),
(NULL, '32', '2', '100'),
(NULL, '32', '3', '600'),
(NULL, '32', '4', '700'),
(NULL, '33', '1', '400'),
(NULL, '33', '2', '300'),
(NULL, '33', '3', '200'),
(NULL, '33', '4', '600'),
(NULL, '34', '1', '300'),
(NULL, '34', '2', '700'),
(NULL, '34', '3', '300'),
(NULL, '34', '4', '200'),
(NULL, '35', '1', '300'),
(NULL, '35', '2', '400'),
(NULL, '35', '3', '100'),
(NULL, '35', '4', '1600'),
(NULL, '36', '1', '150'),
(NULL, '36', '2', '100'),
(NULL, '36', '3', '300'),
(NULL, '36', '4', '200'),
(NULL, '37', '1', '600'),
(NULL, '37', '2', '800'),
(NULL, '37', '3', '900'),
(NULL, '37', '4', '700'),
(NULL, '38', '1', '600'),
(NULL, '38', '2', '500'),
(NULL, '38', '3', '800'),
(NULL, '38', '4', '600'),
(NULL, '39', '1', '900'),
(NULL, '39', '2', '800'),
(NULL, '39', '3', '600'),
(NULL, '39', '4', '500'),
(NULL, '40', '1', '400'),
(NULL, '40', '2', '800'),
(NULL, '40', '3', '700'),
(NULL, '40', '4', '500'),
(NULL, '41', '1', '400'),
(NULL, '41', '2', '800'),
(NULL, '41', '3', '700'),
(NULL, '41', '4', '500'),
(NULL, '42', '1', '300'),
(NULL, '42', '2', '200'),
(NULL, '42', '3', '600'),
(NULL, '42', '4', '700'),
(NULL, '43', '1', '100'),
(NULL, '43', '2', '200'),
(NULL, '43', '3', '400'),
(NULL, '43', '4', '2500'),
(NULL, '44', '1', '500'),
(NULL, '44', '2', '400'),
(NULL, '44', '3', '500'),
(NULL, '44', '4', '700')
; 
